Institution name,Parent / affiliate relationship,Category,Capital type,Relevant team or strategy name,Primary U.S. office,Other relevant U.S. offices,Approximate AUM or relevant fund size,Typical transaction size,Specific data center focus,Example transactions,Number of relevant transactions since Jan 2024 (verified in this dataset),Most recent verified sector activity,Activity status,Dedicated digital infra team?,Dedicated AI infrastructure strategy?,Recent fund close or new vehicle,Recent senior hires or new U.S. office,Titles that own these deals at this firm,Careers page URL,Evidence strength,Source URLs,Notes
Valor Equity Partners,Independent,3,Equity,Valor Equity Partners growth,Chicago IL,New York NY,Unknown / Not verified,USD 50m - USD 700m,AI factory and vertically integrated AI infrastructure growth equity,2025-10 Crusoe Series E USD 1.375bn at >USD 10bn valuation (co-lead),1,2025-10,Very Active (12mo),Unknown / Not verified,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.globenewswire.com/news-release/2025/10/24/3172932/0/en/Crusoe-the-AI-Factory-Company-Raising-1-375-Billion-at-a-Valuation-Above-10-Billion-to-Power-the-Future-of-AI-Infrastructure.html,Co-lead of the largest AI-infrastructure growth round in the dataset.
Mubadala Capital,Asset management arm of Mubadala Investment Company (Abu Dhabi); majority owner of Fortress Investment Group,3,Equity,Mubadala Capital,New York NY,Unknown / Not verified,Unknown / Not verified,USD 50m - USD 700m,AI infrastructure growth equity; prior data center platform exposure,2025-10 Crusoe Series E USD 1.375bn (co-lead); prior investor in Aligned Data Centers (per secondary),1,2025-10,Very Active (12mo),Unknown / Not verified,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.globenewswire.com/news-release/2025/10/24/3172932/0/en/Crusoe-the-AI-Factory-Company-Raising-1-375-Billion-at-a-Valuation-Above-10-Billion-to-Power-the-Future-of-AI-Infrastructure.html | https://bebeez.eu/2026/01/21/2025-data-center-ma-in-review/,Also relevant through the Fortress ownership link into physical power assets.
Founders Fund,Independent,3,Equity,Founders Fund,San Francisco CA,Unknown / Not verified,Unknown / Not verified,USD 10m - USD 200m,AI infrastructure and energy-integrated compute,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,
Altimeter Capital,Independent,3,Equity,Altimeter Capital,Menlo Park CA,Boston MA,Unknown / Not verified,USD 10m - USD 200m,AI infrastructure crossover investing,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,
Fidelity Management & Research,FMR LLC,3,Equity,Fidelity private markets / crossover,Boston MA,Unknown / Not verified,Unknown / Not verified,USD 25m - USD 300m,Late-stage AI infrastructure crossover,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,
T. Rowe Price,T. Rowe Price Group,3,Equity,T. Rowe Price private markets / crossover,Baltimore MD,Unknown / Not verified,Unknown / Not verified,USD 25m - USD 300m,Late-stage AI infrastructure crossover,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,
Franklin Templeton,Franklin Resources,3,Equity,Franklin Templeton alternatives / crossover,San Mateo CA,New York NY,Unknown / Not verified,USD 25m - USD 300m,Late-stage AI infrastructure crossover,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,
StepStone Group,StepStone Group Inc. (NASDAQ: STEP),3,Equity,StepStone private markets,New York NY,La Jolla CA,Unknown / Not verified,USD 10m - USD 250m,AI infrastructure co-investment and growth,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,Also a large LP and co-investment platform - relevant as an allocator as well as a direct investor.
Tiger Global Management,Independent,3,Equity,Tiger Global private investments,New York NY,Unknown / Not verified,Unknown / Not verified,USD 10m - USD 250m,AI infrastructure growth equity,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,
Ribbit Capital,Independent,3,Equity,Ribbit Capital,Palo Alto CA,Unknown / Not verified,Unknown / Not verified,USD 10m - USD 150m,AI infrastructure growth equity,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,
Spark Capital,Independent,3,Equity,Spark Capital,San Francisco CA,Boston MA,Unknown / Not verified,USD 10m - USD 150m,AI infrastructure growth equity,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,
Upper90,Independent,3,Multiple (Credit + Equity),Upper90 structured capital,New York NY,Unknown / Not verified,Unknown / Not verified,USD 5m - USD 100m,Structured capital to compute and AI infrastructure businesses,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,Hidden gem - a small structured-capital shop on a landmark AI infrastructure round.
Activate Capital,Independent,3,Equity,Activate Capital Partners,San Francisco CA,Unknown / Not verified,Unknown / Not verified,USD 10m - USD 100m,Energy-integrated digital and compute infrastructure,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,
Lowercarbon Capital,Independent,3,Equity,Lowercarbon Capital,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,USD 5m - USD 75m,Energy-integrated compute infrastructure,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,
Zigg Capital,Independent,3,Equity,Zigg Capital (real estate and infrastructure technology),New York NY,Unknown / Not verified,Unknown / Not verified,USD 5m - USD 75m,Real assets and infrastructure technology; AI infrastructure,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,Hidden gem.
1789 Capital,Independent,3,Equity,1789 Capital,West Palm Beach FL,Unknown / Not verified,Unknown / Not verified,USD 5m - USD 100m,AI and energy infrastructure growth equity,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,Hidden gem - young manager on a landmark round.
137 Ventures,Independent,3,Equity,137 Ventures (secondary and structured growth),San Francisco CA,Unknown / Not verified,Unknown / Not verified,USD 5m - USD 75m,Structured secondaries into AI infrastructure companies,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,Hidden gem.
Atreides Management,Independent,3,Equity,Atreides Management,Boston MA,Unknown / Not verified,Unknown / Not verified,USD 5m - USD 150m,Public and private AI infrastructure investing,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,Hidden gem.
M37 Management,Independent,3,Equity,M37 Management,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,USD 5m - USD 75m,AI infrastructure growth equity,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,Hidden gem.
Winklevoss Capital,Family office,3,Equity,Winklevoss Capital,New York NY,Unknown / Not verified,Unknown / Not verified,USD 1m - USD 50m,AI infrastructure and energy-integrated compute,2025-10 Crusoe Series E USD 1.375bn (participant),1,2025-10,Very Active (12mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,Family office - relevant to the family-office-backed platform category.
CPP Investments,Canada Pension Plan Investment Board,7,Multiple (Equity + Credit),CPP Investments infrastructure and credit; direct and co-investment,New York NY,Unknown / Not verified,Unknown / Not verified,USD 200m - USD 16bn,Direct control stakes in data center platforms; construction lending; LP commitments to data center development funds,2025-02 atNorth 60% controlling interest ~USD 1.6bn (buyer); 2025-07 Cambridge Ontario hyperscale expansion CAD 225m construction loan (50% of costs); 2025-06 Japan DC Partners I JPY 192.5bn LP commitment (Ares-managed); 2024-09 AirTrunk (co-buyer with Blackstone),4,2025-07,Very Active (12mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.ai-cio.com/news/cpp-investments-ramps-up-data-center-investments/ | https://mergr.com/transaction/psp-investments-acquires-vantage-data-centers,"Invests as buyer, lender and LP - three distinct entry points at one institution."
GIC,Government of Singapore Investment Corporation,7,Equity,GIC infrastructure and real estate direct investment,New York NY,San Francisco CA,Unknown / Not verified,USD 200m - USD 3bn,Direct and JV equity in hyperscale data center platforms,"2024-06 Vantage Data Centers USD 9.2bn round (co-investor, per secondary); JV with CPP Investments and Equinix",1,2025,Very Active (12mo),Yes,Unknown / Not verified,Unknown / Not verified,Operates a 30-50 person direct investment team (secondary),Unknown / Not verified,Unknown / Not verified,B,https://mergr.com/transaction/psp-investments-acquires-vantage-data-centers | https://www.ai-cio.com/news/cpp-investments-ramps-up-data-center-investments/,"Direct-investment team behaves like a PE firm - a genuine principal counterparty, not just an allocator."
ADIA,Abu Dhabi Investment Authority,7,Equity,ADIA infrastructure,Unknown / Not verified (US coverage from Abu Dhabi and New York),Unknown / Not verified,USD 47.6bn in infrastructure commitments - top of the GI 75 ranking (secondary),USD 200m - USD 3bn,Digital infrastructure a stated priority within the infrastructure mandate,"2024-06 Vantage Data Centers USD 9.2bn round (co-investor, per secondary)",1,2024-06,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Built a 30-50 person direct investment team (secondary),Unknown / Not verified,Unknown / Not verified,B,https://mergr.com/transaction/psp-investments-acquires-vantage-data-centers | https://www.infrastructureinvestor.com/global-investor-ranking/,
PSP Investments,Public Sector Pension Investment Board,7,Equity,PSP infrastructure,New York NY,Unknown / Not verified,~USD 24bn allocated to infrastructure (secondary),USD 200m - USD 3bn,Hyperscale platform equity,"2024-06 Vantage Data Centers USD 9.2bn round (co-investor, per secondary); 2024-09 AirTrunk (seller alongside Macquarie Asset Management)",2,2024-09,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://mergr.com/transaction/psp-investments-acquires-vantage-data-centers | https://www.datacenterdynamics.com/en/news/aligned-data-centers-sold-to-blackrock-and-mgx-in-record-breaking-40bn-deal/,
AustralianSuper,Australian superannuation fund with US investment activity,7,Equity,AustralianSuper infrastructure,New York NY,Unknown / Not verified,Unknown / Not verified,EUR 1.5bn single ticket,Direct large-ticket equity into US-headquartered hyperscale platforms,2023-09 Vantage Data Centers EUR 1.5bn investment (direct investor),0,2023-09,Historically Active (since 2018),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://vantage-dc.com/news/vantage-data-centers-completes-9-2-billion-equity-investment-led-by-digitalbridge-and-silver-lake/,Non-US HQ with a New York office and a very large direct ticket in a US platform.
Ontario Teachers' Pension Plan,OTPP,7,Equity,Ontario Teachers' infrastructure and natural resources,New York NY,Unknown / Not verified,Unknown / Not verified,USD 200m - USD 5.5bn,Direct control-level equity in US hyperscale developers,2023 Compass Datacenters ~USD 5.5bn (co-buyer with Brookfield Infrastructure; existing investor),0,2023,Historically Active (since 2018),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://dgtlinfra.com/top-data-center-companies/,
MGX,Abu Dhabi AI and advanced technology investment vehicle; founding member of the AI Infrastructure Partnership,7,Equity,MGX,Unknown / Not verified (US deal coverage),Unknown / Not verified,Unknown / Not verified,USD 1bn - USD 40bn,Control-level consortium equity in US hyperscale data center platforms,2025-10 Aligned Data Centers USD 40bn (consortium co-buyer),1,2025-10,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.global-infra.com/news/ai-infrastructure-partnership-aip-mgx-and-blackrocks-global-infrastructure-partners-gip-to-acquire-all-equity-in-aligned-data-centers/ | https://www.agbi.com/tech/2025/10/mgx-consortium-buys-40bn-us-data-centre-company/,
Kuwait Investment Authority,KIA,7,Equity,KIA direct and fund investments,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 5bn,Anchor capital into AI infrastructure consortia and funds,2025-10 Aligned Data Centers USD 40bn (financial anchor investor in AIP); 2025-11 Brookfield AI Infrastructure Program USD 100bn / BAIIF (anchor backer),2,2025-11,Very Active (12mo),Unknown / Not verified,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://bam.brookfield.com/press-releases/brookfield-launches-100-billion-ai-infrastructure-program | https://www.agbi.com/tech/2025/10/mgx-consortium-buys-40bn-us-data-centre-company/,
Temasek,Temasek Holdings,7,Equity,Temasek direct investment,New York NY,San Francisco CA,Unknown / Not verified,USD 500m - USD 5bn,Anchor capital into AI infrastructure consortia,2025-10 Aligned Data Centers USD 40bn (financial anchor investor in AIP),1,2025-10,Very Active (12mo),Unknown / Not verified,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.agbi.com/tech/2025/10/mgx-consortium-buys-40bn-us-data-centre-company/ | https://www.spglobal.com/market-intelligence/en/news-insights/articles/2026/5/private-equity-investment-surge-sends-us-data-center-deals-to-5-year-high-100947405,
Qatar Investment Authority,QIA,7,Equity,QIA infrastructure,New York NY,Unknown / Not verified,Unknown / Not verified,USD 3bn platform commitment,Dedicated digital infrastructure platform with a US manager,2025-09 QIA / Blue Owl Capital agreement to establish a USD 3bn digital infrastructure platform focused on data centers,1,2025-09,Very Active (12mo),Yes,Unknown / Not verified,"QIA / Blue Owl digital infrastructure platform, USD 3bn, Sep 2025",Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://tools.prnewswire.com/en-us/live/20813/release/20250925EN81646 | https://www.agbi.com/tech/2025/09/qia-teams-up-with-blue-owl-for-data-centre-push/,
ADQ,Abu Dhabi sovereign investor,7,Equity,ADQ energy and infrastructure,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,USD 1bn - USD 25bn,50:50 power generation partnership explicitly aimed at powering data centers,"2025 ADQ / Energy Capital Partners 50:50 partnership, >USD 25bn of capital investment across ~25GW of projects",1,2025,Very Active (12mo),Unknown / Not verified,Yes,"ADQ / Energy Capital Partners 50:50 partnership, >USD 25bn",Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.datacenterdynamics.com/en/news/abu-dhabis-adq-and-energy-capital-form-25bn-energy-partnership-to-power-data-centers/,Category 8 relevance as well - sovereign capital entering power-for-compute directly.
CenterSquare Investment Management,Independent (formerly BNY Mellon affiliate),7,Equity,CenterSquare real assets,Philadelphia PA (Plymouth Meeting),Unknown / Not verified,Unknown / Not verified,USD 25m - USD 250m,Prior equity investor in a US hyperscale platform,Named among prior investors in Aligned Data Centers (per secondary),0,2025,Historically Active (since 2018),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://bebeez.eu/2026/01/21/2025-data-center-ma-in-review/,C-rated: single secondary source naming it as a prior Aligned investor.
BlueMountain Capital Management,Assured Guaranty affiliate (Assured Investment Management),7,Multiple (Credit + Equity),BlueMountain / Assured Investment Management,New York NY,Unknown / Not verified,Unknown / Not verified,USD 25m - USD 250m,Prior investor in a US hyperscale platform,Named among prior investors in Aligned Data Centers (per secondary),0,2025,Historically Active (since 2018),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://bebeez.eu/2026/01/21/2025-data-center-ma-in-review/,"C-rated; the brand has been folded into Assured Investment Management, which is the current counterparty."
PATRIZIA,PATRIZIA SE (German listed real assets manager with US activity),7,Equity,PATRIZIA infrastructure,New York NY,Unknown / Not verified,Unknown / Not verified,USD 25m - USD 500m,Prior equity investor in a US hyperscale platform,Named among prior investors in Aligned Data Centers (per secondary),0,2025,Historically Active (since 2018),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://bebeez.eu/2026/01/21/2025-data-center-ma-in-review/,C-rated for the same reason.
ArcLight Capital Partners,"Agreed to be acquired by DigitalBridge (~USD 1.05bn, announced 2026)",8,Equity,ArcLight energy and power infrastructure,Boston MA,Unknown / Not verified,20.8 GW owned as of June 2025; ~15 GW project pipeline (secondary),USD 100m - USD 5bn,Power generation platforms serving AI and data center load; behind-the-meter and grid-connected supply,2025-07 Advanced Power acquisition with USD 1bn initial equity commitment and potential >USD 5bn over five years (buyer); 2026 agreed sale of ArcLight to DigitalBridge (seller),2,2026,Very Active (12mo),Yes,Yes,Unknown / Not verified,Combination with DigitalBridge creates a >USD 150bn combined asset base (announced),Unknown / Not verified,Unknown / Not verified,A,https://www.prnewswire.com/news-releases/arclight-acquires-advanced-power-a-leading-power-infrastructure-developer-302512542.html | https://www.utilitydive.com/news/digitalbridge-arclight-data-center-deal/821199/,The single clearest institutional expression of power-and-compute convergence in the dataset.
Engine No. 1,Independent,8,Equity,Engine No. 1 reindustrialization investing,San Francisco CA,New York NY,Unknown / Not verified,USD 100m - USD 5bn,Co-located gas-fired power plants purpose-built for data centers (power foundries),"2025-01 partnership with Chevron U.S.A. and GE Vernova to develop co-located power for US data centers, targeting up to 4GW by end-2027; first site in West Texas",1,2025-01,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://engine1.com/wp-content/uploads/2025/01/2025-0127_FINAL-PRESS-RELEASE_EN1_CVX_GE_.pdf | https://www.chevron.com/newsroom/2025/q1/power-solutions-for-us-data-centers,An activist-turned-industrial investor now originating gigawatt-scale power-for-compute.
Knighthead Capital Management,Independent,8,Multiple (Equity + Credit),Knighthead special situations / Homer City Redevelopment,New York NY,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 10bn+,Coal-to-gas repowering for a 4.5GW data center campus,Homer City Energy Campus - financing lead; initial capital investment projected to exceed USD 10bn for power infrastructure and site readiness; equity positions held for nearly eight years,1,2025,Very Active (12mo),Unknown / Not verified,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.businesswire.com/news/home/20250402452555/en/Homer-City-Redevelopment-and-Kiewit-Announce-Countrys-Largest-Natural-Gas-Powered-Data-Center-Campus-to-Support-AI-and-HPC-Demand | https://www.datacenterdynamics.com/en/news/homer-city-and-kiewit-unveil-plans-for-45gw-natural-gas-powered-ai-data-center-in-pennsylvania/,A distressed-debt manager that turned a legacy coal position into the largest US gas-powered data center campus.
Energy Capital Partners,Acquired by Bridgepoint Group (2024),8,Equity,Energy Capital Partners power and energy infrastructure,Summit NJ,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 25bn,New-build power generation and energy infrastructure explicitly targeted at data center load,2025 ADQ partnership - 50:50 vehicle with >USD 25bn of capital investment across ~25GW; sale of Symmetry Energy Solutions to NextEra,2,2025,Very Active (12mo),Unknown / Not verified,Yes,"ADQ 50:50 partnership, >USD 25bn",Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.datacenterdynamics.com/en/news/abu-dhabis-adq-and-energy-capital-form-25bn-energy-partnership-to-power-data-centers/ | https://www.utilitydive.com/news/nextera-basin-electric-data-center/807405/,Deduplication: now Bridgepoint-owned but still operates and transacts as Energy Capital Partners.
TPG Rise Climate,TPG Inc.,8,Equity,TPG Rise Climate,San Francisco CA,Fort Worth TX,Unknown / Not verified,USD 100m - USD 1bn,Co-located clean power and storage for data center load,2024-12 Intersect Power >USD 800m round with Google (co-lead); targeted USD 20bn of renewable power infrastructure investment by end of decade,1,2024-12,Active (24mo),Unknown / Not verified,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.tpg.com/news-and-insights/intersect-power-forms-strategic-partnership-with-google-and-tpg-rise-climate-to-co-locate-data-center-load-and-clean-power-generation,
Climate Adaptive Infrastructure,Independent,8,Equity,Climate Adaptive Infrastructure,Larkspur CA,Unknown / Not verified,Unknown / Not verified,USD 25m - USD 250m,Clean power generation and storage co-located with data center load,2024-12 Intersect Power >USD 800m round (participant),1,2024-12,Active (24mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.businesswire.com/news/home/20241210488084/en/Intersect-Power-Forms-Strategic-Partnership-with-Google-and-TPG-Rise-Climate-to-Co-Locate-Data-Center-Load-and-Clean-Power-Generation,Hidden gem - a small California climate infrastructure manager on a landmark power-for-compute deal.
Greenbelt Capital Partners,Independent,8,Equity,Greenbelt Capital Partners energy transition,Austin TX,Unknown / Not verified,Unknown / Not verified,USD 25m - USD 250m,Energy transition capital into generation serving data centers,2024-12 Intersect Power >USD 800m round (participant),1,2024-12,Active (24mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.businesswire.com/news/home/20241210488084/en/Intersect-Power-Forms-Strategic-Partnership-with-Google-and-TPG-Rise-Climate-to-Co-Locate-Data-Center-Load-and-Clean-Power-Generation,"Hidden gem - Austin-based, spun out of Blackstone Energy Partners heritage (verify)."
NextEra Energy Resources,NextEra Energy Inc. (NYSE: NEE),8,Equity (corporate development / project capital),NextEra Energy Resources data center power supply hubs,Juno Beach FL,Unknown / Not verified,USD 120bn capital investment plan 2025-2028 (corporate),USD 100m - USD 5bn,Data center power supply hubs; nuclear restart; gas with carbon capture; JV development of GW-scale campuses,Google agreement to restart the 615MW Duane Arnold nuclear facility; ExxonMobil partnership for a 1.2GW gas plant with carbon capture; 1.5GW gas project with Basin Electric for North Dakota data centers; JV to develop multiple GW-scale data center campuses; acquisition of Symmetry Energy Solutions from Energy Capital Partners,4,2025-12,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.utilitydive.com/news/nextera-basin-electric-data-center/807405/ | https://newsroom.nexteraenergy.com/2025-12-08-NextEra-Energy-and-Google-Cloud-Announce-Landmark-Strategic-Energy-and-Technology-Partnership-to-Accelerate-AI-Growth-and-Transform-the-Energy-Industry | https://www.ans.org/news/2025-12-10/article-7610/nextera-expands-data-center-plans/,"A corporate rather than a fund, but it deploys project capital at scale and co-develops campuses - in scope per the Category 8 framing."
Constellation Energy,Constellation Energy Corporation (NASDAQ: CEG),8,Contracted capital / corporate,Constellation nuclear and data center origination,Baltimore MD,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 5bn,Nuclear restart and long-term PPAs dedicated to hyperscale data center load,"2024-09 Three Mile Island Unit 1 restart (Crane Clean Energy Center, 835MW) 20-year PPA with Microsoft; 2025-06 Clinton Clean Energy Center 1.1GW 20-year PPA with Meta",2,2025-06,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.datacenterfrontier.com/energy/article/55239739/data-center-nuclear-power-update-microsoft-constellation-aws-talen-meta,
Talen Energy,Talen Energy Corporation (NASDAQ: TLN),8,Contracted capital / corporate,Talen nuclear and data center origination,Houston TX,Unknown / Not verified,Unknown / Not verified,USD 1bn - USD 18bn,Nuclear PPAs and co-located campus supply,2024-03 960MW campus PPA with AWS; 2025-06 Susquehanna 1.92GW PPA expansion with AWS (~USD 18bn reported),2,2025-06,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.datacenterfrontier.com/energy/article/55239739/data-center-nuclear-power-update-microsoft-constellation-aws-talen-meta | https://enkiai.com/nuclear/aws-data-center-talen-energy/,
Vistra Corp.,Vistra Corp. (NYSE: VST),8,Contracted capital / corporate,Vistra nuclear and retail origination,Irving TX,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 5bn,Long-term nuclear PPAs to hyperscalers,"2026-01 20-year PPAs with Meta for 2,609MW of carbon-free power and capacity from PJM nuclear plants",1,2026-01,Very Active (12mo),Unknown / Not verified,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.sec.gov/Archives/edgar/data/1692819/000169281926000006/vistra-20251231.htm,Primary-source evidence from the 10-K.
LS Power,Independent power investor and developer,8,Equity,LS Power,New York NY,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 12bn,Thermal generation and virtual power plant platforms serving load growth from data centers,Definitive agreement to sell a portfolio of 13GW of gas-fired generation and a 6GW C&I virtual power plant platform to NRG Energy (seller; expected close Q1 2026),1,2026,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.sec.gov/Archives/edgar/data/1013871/000101387125000023/nrgq32025ex991.htm,
